datetime,temperature_2m,apparent_temperature,precipitation,relative_humidity_2m,cloud_cover,wind_speed_10m
2026-07-10 00:00:00,71.1,76.9,0.0,100,100,10.2
2026-07-10 01:00:00,70.9,76.2,0.0,100,100,11.8
2026-07-10 02:00:00,72.1,78.1,0.0,100,100,11.3
2026-07-10 03:00:00,71.5,77.1,0.0,100,100,12.1
2026-07-10 04:00:00,70.5,75.8,0.0,100,99,11.3
2026-07-10 05:00:00,69.4,74.0,0.0,98,67,11.1
2026-07-10 06:00:00,68.5,71.9,0.0,97,13,12.4
2026-07-10 07:00:00,69.2,72.3,0.0,94,34,13.5
2026-07-10 08:00:00,71.8,76.5,0.0,91,70,10.2
2026-07-10 09:00:00,73.7,78.7,0.0,87,79,10.4
2026-07-10 10:00:00,76.0,81.0,0.0,80,76,10.8
2026-07-10 11:00:00,78.3,83.1,0.004,71,94,13.7
2026-07-10 12:00:00,79.3,84.4,0.0,69,99,11.7
2026-07-10 13:00:00,79.4,83.8,0.0,67,100,11.0
2026-07-10 14:00:00,80.1,86.4,0.0,66,98,9.6
2026-07-10 15:00:00,77.4,81.9,0.012,74,100,10.3
2026-07-10 16:00:00,77.2,83.1,0.0,80,100,8.8
2026-07-10 17:00:00,78.1,84.1,0.0,78,100,8.5
2026-07-10 18:00:00,78.1,84.0,0.0,77,79,8.6
2026-07-10 19:00:00,76.6,83.1,0.0,84,42,8.7
2026-07-10 20:00:00,74.7,79.9,0.004,82,95,7.6
2026-07-10 21:00:00,72.6,78.1,0.0,87,73,6.3
2026-07-10 22:00:00,71.4,76.9,0.0,88,10,5.0
2026-07-10 23:00:00,70.3,75.5,0.0,90,90,5.5
2026-07-11 00:00:00,70.3,75.8,0.0,90,96,4.5
2026-07-11 01:00:00,69.8,75.0,0.0,93,100,5.8
2026-07-11 02:00:00,69.9,75.1,0.0,91,98,5.0
2026-07-11 03:00:00,69.9,74.9,0.0,90,95,5.5
2026-07-11 04:00:00,69.1,73.4,0.0,91,98,7.3
2026-07-11 05:00:00,68.3,72.4,0.0,94,97,7.9
2026-07-11 06:00:00,68.2,72.3,0.0,95,79,8.3
2026-07-11 07:00:00,69.4,73.0,0.0,91,70,10.1
2026-07-11 08:00:00,70.9,75.6,0.0,93,91,9.6
2026-07-11 09:00:00,71.7,76.5,0.012,91,98,10.1
2026-07-11 10:00:00,72.6,77.5,0.008,88,66,9.9
2026-07-11 11:00:00,74.0,78.8,0.004,84,68,10.3
2026-07-11 12:00:00,75.1,80.6,0.004,78,100,9.3
2026-07-11 13:00:00,76.3,83.8,0.004,76,33,9.1
2026-07-11 14:00:00,75.7,82.0,0.067,78,40,11.0
2026-07-11 15:00:00,77.2,84.1,0.004,75,60,11.2
2026-07-11 16:00:00,76.9,81.8,0.004,73,48,12.1
2026-07-11 17:00:00,76.4,79.4,0.004,71,73,11.7
2026-07-11 18:00:00,75.4,78.4,0.0,73,59,11.2
2026-07-11 19:00:00,74.3,78.4,0.0,79,93,9.4
2026-07-11 20:00:00,71.9,75.2,0.0,81,82,9.3
2026-07-11 21:00:00,70.5,73.9,0.0,81,41,7.4
2026-07-11 22:00:00,69.6,73.6,0.0,85,21,5.6
2026-07-11 23:00:00,68.4,72.5,0.0,89,20,5.3
2026-07-13 00:00:00,67.0,66.5,0.0,71,7,11.0
2026-07-13 01:00:00,65.8,65.8,0.0,76,9,9.8
2026-07-13 02:00:00,64.9,65.1,0.0,81,5,10.9
